priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
128,HelloFresh Australia,/go/hellofresh-australia/,Australia,meal kit,mainstream meal kit,https://www.hellofresh.com.au/,yes,Create AU-specific brand variant and consumer-law caution,route_ready_affiliate_pending
129,HelloFresh Canada,/go/hellofresh-canada/,Canada,meal kit,mainstream meal kit,https://www.hellofresh.ca/,yes,Create Canada-specific brand variant,route_ready_affiliate_pending
130,HelloFresh Ireland,/go/hellofresh-ireland/,Ireland,meal kit,meal kit,,possible,Verify Irish market availability and landing page,route_ready_affiliate_pending
131,HelloFresh UK,/go/hellofresh-uk/,UK,meal kit,mainstream meal kit,https://www.hellofresh.co.uk/,yes,Create UK-specific brand variant and offer check,route_ready_affiliate_pending
132,Home Bistro,/go/home-bistro/,US,prepared meals,prepared gourmet meal delivery brand with chef-made frozen meal demand,https://www.homebistro.com/,affiliate application,Add to premium prepared meal and senior frozen meal pages,route_ready_affiliate_pending
133,Home Chef,/go/home-chef/,US,meal kit,mainstream meal kit,https://www.homechef.com/,yes,Expand US comparison pages and affiliate application target,route_ready_affiliate_pending
134,Hungryroot,/go/hungryroot/,US,grocery dinner delivery,"personalized grocery-dinner service combining meal-kit convenience, grocery variety, recipes, and dietary filters",https://www.hungryroot.com/,affiliate application,Use as US grocery-dinner anchor,route_ready_affiliate_pending
135,ICON Meals,/go/icon-meals/,US,high protein meal prep,custom and pre-made fitness meals with macro-focused checkout,https://iconmeals.com/,direct partnership,Add to custom meal-prep and bodybuilder pages,route_ready_affiliate_pending
136,Inspired Go,/go/inspired-go/,Canada,prepared meals,Canadian fresh meal and salad delivery brand with healthy lunch and prepared meal demand,https://inspiredgo.ca/,direct partnership,Promote to Canada healthy prepared meal pages,route_ready_affiliate_pending
137,itsu Grocery Meals,/go/itsu-grocery-meals/,UK,ready meals,retail ready meals adjacent,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
138,Jet Fuel Meals,/go/jet-fuel-meals/,US,fitness prepared meals,prepared meal prep,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
139,Just Meats,/go/just-meats/,US,protein meal delivery,prepared protein delivery,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
140,KBK,/go/kbk/,UK,prepared meals,fitness prepared meals,https://kbk.co.uk/,possible,Add UK meal prep tracker,route_ready_affiliate_pending
141,Kcal Life,/go/kcal-life/,uae,prepared meals,UAE healthy meal-plan provider with customizable plans and daily meal delivery,https://kcallife.com/,direct partnership,Add as UAE top-tier meal-plan comparison target,route_ready_affiliate_pending
142,Kitchen to Kitchen,/go/kitchen-to-kitchen/,US,prepared meals,regional prepared meals,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
143,LeanBox,/go/leanbox/,Ireland,prepared meals,fitness meal prep,,possible,Verify official URL and service area,route_ready_affiliate_pending
144,Linas Matkasse,/go/linas-matkasse/,sweden,meal kit,Major Swedish meal-kit provider with broad dinner choice,https://www.linasmatkasse.se/,direct partnership,Position as Sweden incumbent against HelloFresh and Factor,route_ready_affiliate_pending
145,Lions Prep,/go/lions-prep/,UK,prepared meals,fitness prepared meals,https://www.frive.co.uk/lions-prep,likely,Treat as Frive rebrand context rather than separate active recommendation.,route_ready_affiliate_pending
146,Lite n Easy,/go/lite-n-easy/,Australia,diet prepared meals; prepared meals,Australian weight-loss and healthy prepared-meal delivery brand; diet and ready meals,https://www.liteneasy.com.au/,possible,Add AU weight-loss and seniors angle,route_ready_affiliate_pending
147,Little Spoon,/go/little-spoon/,US,kids and baby meals,"fresh baby, toddler, and kids meal delivery with Babyblends, Biteables, Plates, Lunchers, snacks, and formula",https://www.littlespoon.com/,affiliate application,"Add to US kids meal delivery, toddler meals, and family pages",route_ready_affiliate_pending
148,LiveFit Foods,/go/livefit-foods/,Canada,prepared meals,"Canadian chef-prepared fresh meals with keto, muscle gain, vegan, and weight-loss journeys",https://livefitfood.ca/,direct partnership,Promote to Canada high-protein and diet prepared-meal pages,route_ready_affiliate_pending
149,London Meal Prep,/go/london-meal-prep/,UK,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
150,Love Yourself,/go/love-yourself/,UK,prepared meals,diet meal plan,https://loveyourself.co.uk/,possible,Add weight-loss meal prep UK,route_ready_affiliate_pending
151,Macro Food Co,/go/macro-food-co/,UK,prepared meals,macro meal candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
152,Macro Meals UK,/go/macro-meals-uk/,UK,prepared meals,macro meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
153,Macros,/go/macros/,Australia,macro prepared meals,Australian macro-focused ready meals for fitness and calorie-controlled eating,https://www.macros.com.au/,direct partnership,Promote to AU macro and high-protein comparisons,route_ready_affiliate_pending
154,Magic Kitchen,/go/magic-kitchen/,US,frozen senior and special-diet meals,"frozen prepared meals with senior, diabetic, renal, dialysis, low-carb, and complete-meal options",https://www.magickitchen.com/,affiliate application,"Add to seniors, frozen meals, and special-diet pages",route_ready_affiliate_pending
155,Manchester Meal Prep,/go/manchester-meal-prep/,UK,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
156,Marley Spoon,/go/marley-spoon/,Germany; Global; Netherlands; US; austria; belgium,meal kit; meal kit and prepared meals,"Austria cook-at-home meal box with flexible recipes and delivery; Belgium meal-kit option with recipes, ingredients, and market add-ons; US recipe-led meal-kit brand for premium cooking-kit comparisons against Blue Apron, Dinnerly, and HelloFresh; major meal kit and prepared-meal option; meal kit with ready-meal extras; multi-market meal kit",https://marleyspoon.com/,affiliate application,Promote from missing-priority to active route-ready coverage,route_ready_affiliate_pending
157,Marley Spoon Australia,/go/marley-spoon-australia/,Australia,meal kit,recipe-led meal kit,https://marleyspoon.com.au/,likely,Add AU meal-kit comparison,route_ready_affiliate_pending
158,Meal Prep on Fleek,/go/meal-prep-on-fleek/,US,meal prep marketplace,meal prep content and offers,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
159,MealPro,/go/mealpro/,US,fitness prepared meals,high-protein prepared meal delivery with custom macro and fitness meal positioning,https://www.mealpro.net/,direct partnership,Add to macro and fitness prepared meal pages,route_ready_affiliate_pending
160,Meals4Health,/go/meals4health/,Ireland,prepared meals,health-focused prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
161,MegaFit Meals,/go/megafit-meals/,US,high protein meal prep,fitness prepared meals with high-protein and athlete-focused demand,https://megafitmeals.com/,direct partnership,Add to US high-protein challenger comparisons,route_ready_affiliate_pending
162,MenuDiet,/go/menudiet/,spain,prepared meals,Spanish healthy prepared-meal delivery service with weekly menus and mainland Spain delivery claims,https://www.menudiet.es/,direct partnership,Add to Spain diet/prepared meal comparison and outreach,route_ready_affiliate_pending
163,Metabolic Meals,/go/metabolic-meals/,US,prepared meals,chef-prepared fresh healthy meals shipped ready to heat with rotating menus and performance nutrition demand,https://mymetabolicmeals.com/,direct partnership,Promote to US healthy prepared-meal and high-protein pages,route_ready_affiliate_pending
164,Methodology,/go/methodology/,US,premium prepared meals,premium prepared meal delivery with clean ingredient and reusable-container positioning,https://www.gomethodology.com/,affiliate application,Use for premium healthy prepared-meal comparison,route_ready_affiliate_pending
165,MightyMeals,/go/mightymeals/,US,prepared meals,regional fresh prepared meal delivery brand with fitness and family meal prep demand,https://www.mightymeals.com/,direct partnership,Use with regional-service caveat and direct outreach,route_ready_affiliate_pending
166,Mindful Chef,/go/mindful-chef/,UK,meal kit,healthy UK recipe box with 28 weekly chef-designed meals plus ready meal/smoothie extensions,https://www.mindfulchef.com/,affiliate application,Promote to UK healthy recipe-box anchor and compare against Gousto,route_ready_affiliate_pending
167,Mindful Chef Ready Meals,/go/mindful-chef-ready-meals/,UK,prepared meals,UK prepared meal variant attached to Mindful Chef healthy recipe-box ecosystem,https://www.mindfulchef.com/,affiliate application,Promote prepared-meal variant with active product caveat,route_ready_affiliate_pending
168,ModifyHealth,/go/modifyhealth/,US,medical diet meals,"medically tailored prepared meals focused on low-FODMAP, Mediterranean, and condition-specific nutrition",https://www.modifyhealth.com/,affiliate application,Add to medical diet and low-FODMAP meal pages,route_ready_affiliate_pending
169,Mom's Meals,/go/mom-s-meals/,US,medically tailored meals,"home-delivered medically tailored meals with diabetes, renal, heart-friendly, protein+, pureed, halal, kosher, produce, and pantry programs",https://www.momsmeals.com/,direct partnership,"Add to seniors, medically tailored meals, and food-as-medicine pages",route_ready_affiliate_pending
170,Mosaic Foods,/go/mosaic-foods/,US,frozen plant-based meals,"healthy frozen plant-centric meals, bowls, family meals, soups, smoothies, and no-prep dinners",https://www.mosaicfoods.com/,direct partnership,"Add to frozen, vegan, and family prepared-meal pages",route_ready_affiliate_pending
171,Muscle Meals UK,/go/muscle-meals-uk/,UK,prepared meals,fitness meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
172,MuscleFood,/go/musclefood/,UK,meal prep and grocery,"UK high-protein online food shop with meat, meals, FitPot/prepped pots, and goal-based ranges",https://www.musclefood.com/,affiliate application,Use as UK protein grocery and prepared-meal hybrid,route_ready_affiliate_pending
173,My Muscle Chef,/go/my-muscle-chef/,Australia,fitness prepared meals,Australian high-protein ready-made meals and fitness meal-prep anchor,https://www.mymusclechef.com/,affiliate application,Keep as AU high-protein anchor,route_ready_affiliate_pending
